EmployeeId,CheckDate,Amount
ABC123,12/14/2020,$800
ABC123,12/13/2020,$800
ABC123,12/12/2020,$800
ABC123,12/11/2020,$800
ABC123,12/10/2020,$800
ABC123,12/09/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
ABC123,12/10/2020,$800
